"","var","rel.inf"
"feat_11","feat_11",17.4493470456918
"feat_60","feat_60",13.8116343625265
"feat_34","feat_34",8.6308020789761
"feat_90","feat_90",5.79812860868516
"feat_14","feat_14",5.21950461877803
"feat_15","feat_15",4.47468821409433
"feat_40","feat_40",4.32596406823765
"feat_69","feat_69",3.94612343539414
"feat_75","feat_75",3.59491016341229
"feat_39","feat_39",3.07261952466372
"feat_36","feat_36",2.64569168829808
"feat_42","feat_42",2.47593155256731
"feat_62","feat_62",2.36541768588028
"feat_9","feat_9",2.21671411344241
"feat_68","feat_68",2.18760867800728
"feat_26","feat_26",2.0624482083691
"feat_86","feat_86",1.537322441427
"feat_53","feat_53",1.40627775023926
"feat_59","feat_59",1.20224762741511
"feat_43","feat_43",1.1381839596963
